Strategy,App,Iteration,Energy,Mem,CPU,Requests,Response Size,Transfer Over NW,Load Time
Stale While Revalidate,Beer,4,59.48208,1167711.841,15.32068944,25,806942,96450,232
Stale While Revalidate,Beer,5,62.172936,1167711.841,15.32068944,25,816508,96570,221
Stale While Revalidate,Beer,6,62.172936,1167711.841,15.32068944,25,806942,96450,248
Stale While Revalidate,Beer,7,58.490712,1167711.841,15.32068944,25,816508,96505,258
Stale While Revalidate,Beer,8,63.02268,1167711.841,15.32068944,25,806942,96450,245
Stale While Revalidate,Beer,9,69.39576,1167711.841,15.32068944,24,666951,96508,193
Stale While Revalidate,Beer,10,60.1902,1167711.841,15.32068944,25,806942,96450,178
Stale While Revalidate,Currency Calc,1,66.988152,1187004.946,18.900329,37,1198105,217667,1287
Stale While Revalidate,Currency Calc,2,64.580544,1187004.946,18.900329,35,1226725,240935,472
Stale While Revalidate,Currency Calc,3,62.739432,1187004.946,18.900329,35,1226725,239764,559
Stale While Revalidate,Currency Calc,4,63.164304,1187004.946,18.900329,35,1226725,239005,517
Stale While Revalidate,Currency Calc,5,93.046968,1187004.946,18.900329,35,1226725,126672,894
Stale While Revalidate,Currency Calc,6,66.846528,1187004.946,18.900329,35,1226725,240935,470
Stale While Revalidate,Currency Calc,7,63.7308,1187004.946,18.900329,35,1226725,239764,510
Stale While Revalidate,Currency Calc,8,61.60644,1187004.946,18.900329,35,1226725,239005,514
Stale While Revalidate,Currency Calc,9,63.305928,1187004.946,18.900329,35,1226725,126672,478
Stale While Revalidate,Currency Calc,10,68.970888,1187004.946,18.900329,35,1226725,240935,495
Stale While Revalidate,jetzt,1,68.68764,1226997.504,11.37142857,53,2392246,809168,2183
Stale While Revalidate,jetzt,2,68.121144,1226997.504,11.37142857,50,2364072,791524,1987
Stale While Revalidate,jetzt,3,66.56328,1226997.504,11.37142857,48,2364429,66813,2263
Stale While Revalidate,jetzt,4,74.3526,1226997.504,11.37142857,48,2364072,66663,1443
Stale While Revalidate,jetzt,5,75.343968,1226997.504,11.37142857,48,2364299,66579,1465
Stale While Revalidate,jetzt,6,75.485592,1226997.504,11.37142857,50,2364072,791524,1432
Stale While Revalidate,jetzt,7,69.112512,1226997.504,11.37142857,48,2364429,66813,1287
Stale While Revalidate,jetzt,8,75.343968,1226997.504,11.37142857,48,2364072,66663,1554
Stale While Revalidate,jetzt,9,74.494224,1226997.504,11.37142857,48,2364429,66813,1652
Stale While Revalidate,jetzt,10,71.661744,1226997.504,11.37142857,67,2584410,66631,2095
Stale While Revalidate,Bird and Earth,1,84.549528,1200399.203,14.17094904,68,2155106,1054329,1813
Stale While Revalidate,Bird and Earth,2,80.867304,1200399.203,14.17094904,69,2168884,1066104,1733
Stale While Revalidate,Bird and Earth,3,56.507976,1200399.203,14.17094904,70,2168885,1066945,1245
Stale While Revalidate,Bird and Earth,4,83.841408,1200399.203,14.17094904,69,2168884,1066541,1320
Stale While Revalidate,Bird and Earth,5,77.8932,1200399.203,14.17094904,68,2155106,1054329,1813
Stale While Revalidate,Bird and Earth,6,83.274912,1200399.203,14.17094904,69,2168884,1066104,1733
Stale While Revalidate,Bird and Earth,7,80.442432,1200399.203,14.17094904,70,2168885,1066945,1245
Stale While Revalidate,Bird and Earth,8,54.666864,1200399.203,14.17094904,68,2155106,1054329,1813
Stale While Revalidate,Bird and Earth,9,79.592688,1200399.203,14.17094904,69,2168884,1066104,1733
Stale While Revalidate,Bird and Earth,10,80.159184,1200399.203,14.17094904,70,2168885,1066945,1245
Stale While Revalidate,lacuenta,1,55.516608,1203585.579,10.44711799,17,428508,149534,1374
Stale While Revalidate,lacuenta,2,55.658232,1203585.579,10.44711799,17,428508,1327,350
Stale While Revalidate,lacuenta,3,54.808488,1203585.579,10.44711799,18,465072,1143,358
Stale While Revalidate,lacuenta,4,53.533872,1203585.579,10.44711799,18,465072,1340,275
Stale While Revalidate,lacuenta,5,55.374984,1203585.579,10.44711799,17,428508,149618,744
Stale While Revalidate,lacuenta,6,61.889688,1203585.579,10.44711799,17,428508,148991,170
Stale While Revalidate,lacuenta,7,53.250624,1203585.579,10.44711799,17,428508,1327,388
Stale While Revalidate,lacuenta,8,54.383616,1203585.579,10.44711799,18,465072,1140,309
Stale While Revalidate,lacuenta,9,53.250624,1203585.579,10.44711799,18,465072,1340,317
Stale While Revalidate,lacuenta,10,52.684128,1203585.579,10.44711799,17,428508,149618,302
Network First,Football Peek,1,41.62104,1175045.882,13.89608696,14,1058770,,
Network First,Football Peek,2,42.3918,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,3,39.000456,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,4,39.000456,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,5,39.462912,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,6,37.150632,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,7,63.356472,1175045.882,13.89608696,12,1038828,,
Network First,Football Peek,8,45.320688,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,9,39.617064,1175045.882,13.89608696,9,579295,,
Network First,Football Peek,10,33.759288,1175045.882,13.89608696,9,579295,,
Network First,Dev's Coffee,1,47.941272,1557311.382,15.22313853,36,16362676,,
Network First,Dev's Coffee,2,43.779168,1557311.382,15.22313853,20,822847,,
Network First,Dev's Coffee,3,46.862208,1557311.382,15.22313853,36,16362676,,
Network First,Dev's Coffee,4,45.320688,1557311.382,15.22313853,36,16362676,,
Network First,Dev's Coffee,5,44.858232,1557311.382,15.22313853,36,16362676,,
Network First,Dev's Coffee,6,35.609112,1557311.382,15.22313853,36,16362676,,
